ptfi_term,label,group,obligation,datatype,occurrence,value_scheme,definition,allowed_values,examples,maps_to,match_type,curation_note,reconciliation_note
specimenFoodProductIri,Specimen Food Product IRI,Specimen,Curator-assigned,IRI,unique,FoodOn (OLS),"FoodOn IRI for the specimen's food-product form — a subclass of 'food product by organism', as specific as possible (cultivar where present).",,http://purl.obolibrary.org/obo/FOODON_03309552,dcterms:subject,skos:closeMatch,"Match name + preparation + method; avoid 'efsa foodex2' terms. If none exists, file a term request (SOP 3).",
specimenCommonName,Specimen Common Name,Specimen,Required,string,multiple,,Vernacular name of the specimen in the collector's local language or dialect. Pair with the language tag.,,hoy dong; pu dong,dwc:vernacularName,skos:exactMatch,"Exact spelling/spacing. Confirm it denotes a meaningful food (e.g. 'hoy dong' = fermented shellfish), not just 'fish'.",
commonNameLanguage,Common Name Language Code,Specimen,Required,vocabulary encoding scheme,multiple,BCP 47,"Language of the common name as a BCP 47 tag (language, optional script, optional region).",,es-MX; th-TH; en,dcterms:language,skos:exactMatch,One tag per common-name value. BCP 47 covers three-letter (ISO 639-3) languages and scripts too.,"Upgraded from the site's ""two-letter ISO 639"" rule, which excluded 3-letter languages and had no script support. ""Dialect code"" is not an ISO concept."
specimenOrganismName,Specimen Organism Name,Specimen,Required,string,unique,,Scientific (Latin) name of the source organism. Use genus when several species apply.,,Zea mays var. saccharata; Malus domestica,dwc:scientificName,skos:exactMatch,"Roman form, correct case and spelling. For multi-ingredient foods record the principal organism (or leave for curation) rather than omitting it.","Restored as a standard field. The site made it conditional and instructed removing it for prepared foods, which discards source-organism provenance and breaks the link to the organism IRI."
specimenOrganismIri,Specimen Organism IRI,Specimen,Curator-assigned,IRI,unique,NCBITaxon (OLS),"Most specific NCBI Taxonomy IRI for the source organism, retrieved via OLS.",,http://purl.obolibrary.org/obo/NCBITaxon_4577,dwc:taxonID,skos:closeMatch,"Search the organism name in OLS; record the IRI of the best, most specific match.",
specimenBreedCultivar,Specimen Breed or Cultivar,Specimen,Optional,string,unique,,"Cultivar, variety, or hybrid (plants) or breed (animals); or 'unknown'.",,gala; cavendish; yukon gold,,,"Record when known, lowercase, spelling consistent with accepted names.",
specimenPreparation,Specimen Preparation,Specimen,Required,vocabulary encoding scheme,multiple,PTFI in-house vocabulary,Preparation state of the specimen at collection.,raw; cooked; processed; unknown,raw; processed,dwc:preparations,skos:closeMatch,One or more values from the preparation vocabulary.,"Occurrence restored to multiple; value set realigned to the source (state of transformation), kept distinct from storage state and method."
specimenPreparationMethod,Specimen Preparation Method,Specimen,Conditional,vocabulary encoding scheme,multiple,PTFI in-house vocabulary,Method(s) applied when the specimen is cooked or processed.,boiled; fried; steamed; grilled; en papillote; fermented; smoked; dried; canned; ground; low or reduced fat; pasteurized; fresh frozen; hulled; dehydrated; enriched or fortified; pressure cooked; roasted; sautéed; other; unknown,fermented; dried; ground,,,Encode all applicable methods. Required only when preparation is cooked or processed.,Full source vocabulary restored (the site had thinned it to a couple of examples).
specimenAbsStatus,Specimen ABS Status,Specimen,Curator-assigned,vocabulary encoding scheme,unique,PTFI in-house vocabulary,"Access and Benefit-Sharing status under the Nagoya Protocol and national genetic-resource law, as an ordinal level.",1; 2; 3; 4,1; 3,,,"Ordinal from the ABS vocabulary. Where the level indicates clearance is needed, publication is blocked until ethical/legal sign-off.",Restored to the source's ordinal (0–4); the site stored a mixed 'level 1 / ABS needed' string.
sampleId,Sample ID,Sample,Curator-assigned,uuid,unique,UUID / GUID (RFC 9562),"Persistent, globally unique identifier for the sample. Should resolve via a PTFI base URL.",,PTFI:SMP:9c752d22-b09a,,,Assigned by the curator; links the analysed material to its specimen.,
studySampleIdentifier,Study Sample Identifier,Sample,Required,string,unique,,Human-facing identifier for the sample within a study.,,SMP-00194,dwc:otherCatalogNumbers,skos:closeMatch,"Valid, unique, no stray spaces.",
sampleFoodProductName,Sample Food Product Name,Sample,Required,string,unique,,Food-product name as recorded by the laboratory; may differ from the specimen when the sample is a specific part or process (e.g. beet greens vs. beet root).,,pickled beet root; beet greens,,,"Present, lowercase, singular, spelling verified.",
sampleCommonName,Sample Common Name,Sample,Optional,string,multiple,,Vernacular name(s) for the sample as used locally. Pair each with a language tag.,,elote; choclo; mazorca,dwc:vernacularName,skos:closeMatch,Optional; tag each name with its BCP 47 language.,
sampleFoodProductIri,Sample Food Product IRI,Sample,Curator-assigned,IRI,unique,FoodOn (OLS),FoodOn IRI for the sample's food-product form; may equal the specimen IRI when preparation and processing are identical.,,http://purl.obolibrary.org/obo/FOODON_03309552,dcterms:subject,skos:closeMatch,"Same procedure as the specimen IRI, using the sample's name, preparation, and method.",
sampleLabLocation,Sample Lab Location,Sample,Required,string,unique,,Laboratory responsible for preparing or analysing the sample.,,ETH Zurich,,,"Present and correctly spelled; if missing, query the author.",
samplePreparerName,Sample Preparer Name,Sample,Required,string,unique,,Name of the person who prepared the sample in the lab.,,Angela Fernando,,,Present and correctly spelled.,
samplePreparationDate,Sample Preparation Date,Sample,Required,date,unique,ISO 8601-1,Date on which the sample was prepared.,,2024-04-02 00:00:00,,,"ISO 8601 format. If unknown, leave null and flag the row — never write a placeholder string into the date field.","Removed the site's instruction to enter the literal 'YYYY/MM/DD' when unknown, which broke the date type and used the wrong separator."
samplePreparation,Sample Preparation,Sample,Required,vocabulary encoding scheme,multiple,PTFI in-house vocabulary,Preparation state of the sample.,same as specimen; cooked; processed; unknown,same as specimen; processed,dwc:preparations,skos:closeMatch,"If unchanged from the specimen, select 'same as specimen'. Occurrence is multiple.",
samplePreparationMethod,Sample Preparation Method,Sample,Conditional,vocabulary encoding scheme,multiple,PTFI in-house vocabulary,Method(s) used to prepare the sample when cooked or processed (shares the preparation-method vocabulary).,boiled; fried; steamed; grilled; en papillote; fermented; smoked; dried; canned; ground; low or reduced fat; pasteurized; fresh frozen; hulled; dehydrated; enriched or fortified; pressure cooked; roasted; sautéed; other; unknown,ground,,,Encode all applicable methods. Required when preparation is cooked or processed.,
sampleLaboratoryProcessing,Sample Laboratory Processing,Sample,Required,vocabulary encoding scheme,multiple,PTFI in-house vocabulary,How the sample was processed in the lab prior to freezer storage.,lyophilized or freeze-dried; fresh frozen,lyophilized or freeze-dried,,,Select from the lab-processing vocabulary.,Restored as one clean value. The site split freeze-drying across two fields under two synonyms ('freeze-drying' and 'lyophilization').
sampleWetWeight,Sample Wet Weight,Sample,Required,float,unique,Unit Ontology (UO),"Wet (fresh) weight of the sample in grams, after inedible parts are removed.",,152.4,,,"Required; positive. If blank, query the author.",
sampleDryWeight,Sample Dry Weight,Sample,Conditional,float,unique,Unit Ontology (UO),"Weight of the sample after drying, in grams.",,28.9,,,Present where applicable; positive value.,
curationStatus,Curation Status,Sample,Curator-assigned,vocabulary encoding scheme,unique,PTFI in-house vocabulary,Controlled stage of the record's metadata curation.,required; in progress; complete,in progress,,,'required' before curation; 'complete' once all fields are verified.,Split into a controlled status. The site mixed the enum with free-text QC notes in one field; those notes now live in Curation Notes.
aliquotId,Aliquot ID,Aliquot,Curator-assigned,uuid,unique,UUID / GUID (RFC 9562),"Persistent, globally unique identifier for the analytical aliquot, linking measurements back to sample and specimen.",,PTFI:ALQ:9c752d22-b09a,,,Assigned by the curator.,"Added — the source had an aliquot weight but no aliquot identifier, leaving analytical results without a clean key to the aliquot."
aliquotWeight,Aliquot Weight,Aliquot,Required,float,unique,Unit Ontology (UO),Weight of the individual analytical aliquot in milligrams.,,50; 100,,,"Numeric, positive, where an aliquot was drawn for analysis.",
